Date,Proportion
2020-01-05,14
2020-01-12,18
2020-01-19,23
2020-01-26,20
2020-02-02,14
2020-02-09,22
2020-02-16,15
2020-02-23,18
2020-03-01,19
2020-03-08,18
2020-03-15,16
2020-03-22,17
2020-03-29,17
2020-04-05,15
2020-04-12,18
2020-04-19,18
2020-04-26,13
2020-05-03,14
2020-05-10,13
2020-05-17,14
2020-05-24,22
2020-05-31,23
2020-06-07,22
2020-06-14,22
2020-06-21,22
2020-06-28,20
2020-07-05,21
2020-07-12,34
2020-07-19,24
2020-07-26,19
2020-08-02,25
2020-08-09,25
2020-08-16,29
2020-08-23,24
2020-08-30,28
2020-09-06,28
2020-09-13,25
2020-09-20,30
2020-09-27,29
2020-10-04,25
2020-10-11,31
2020-10-18,34
2020-10-25,36
2020-11-01,100
2020-11-08,24
2020-11-15,22
2020-11-22,19
2020-11-29,17
2020-12-06,19
2020-12-13,18
2020-12-20,14
2020-12-27,16
